,Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
122,336453,NA,NA,NA,Support Namma CSK,2019-04-07,2019-05-30
123,337249,NA,NA,NA,Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
126,335804,NA,NA,NA,Saturday Night with DJ SAAD!,2019-04-13,2019-04-14
127,335809,NA,NA,NA,Sunday Night with Indie Street Rockers!,2019-04-14,2019-04-15
129,336239,NA,NA,NA,Unlimited Navratri Chaat,2019-04-06,2019-04-13
132,336485,NA,NA,NA,Wow Wednesday,2019-04-10,2019-04-10
133,334436,NA,NA,NA,GOOD MORNING JAIPUR,2019-04-03,2019-04-30
139,335248,NA,NA,NA,Navratri Special Menu,2019-04-04,2019-04-14
142,337488,NA,NA,NA,Friday Artisans Bazaar with Live Music On SITAR at Purple Martini at Sunset Point,2019-04-12,2019-04-12
143,337489,NA,NA,NA,SAX Sunsets with Saxophonist David Goren DJ Set By Tashi - I at Purple Martini at Sunset Point,2019-04-13,2019-04-13
144,337490,NA,NA,NA,Shanti Sundays with Saxophonist ARTEMIY at Purple Martini at Sunset Point,2019-04-14,2019-04-14
145,334112,NA,NA,NA,Mango Mania,2019-04-02,2019-04-30
146,334112,NA,NA,NA,Mango Mania,2019-04-02,2019-04-30
147,334112,NA,NA,NA,Mango Mania,2019-04-02,2019-04-30
150,336304,NA,NA,NA,GOT FINAL SEASON S08E01,2019-04-15,2019-04-15
152,336612,NA,NA,NA,BUY 1 GET 1,2019-04-08,2019-04-30
153,336615,NA,NA,NA,Kitty Party,2019-04-08,2019-06-30
154,336285,NA,NA,NA,SPECIAL VEGETARIAN DISHES,2019-04-06,2019-04-17
167,316246,NA,NA,NA,The Huddle Bollywood Night,2019-04-26,2019-04-27
168,316249,NA,NA,NA,The Huddle Bollywood Night,2019-04-26,2019-04-27
169,337390,NA,NA,NA,Vishu Sadhya,2019-04-15,2019-04-15
170,335476,NA,NA,NA,4th Anniversary Celebration!,2019-04-29,2019-05-01
171,334878,NA,NA,NA,Traditional Kerala Style Vishu Sadya,2019-04-15,2019-04-15
175,335542,NA,NA,NA,Vishu Celebration at Ghee Rice,2019-04-14,2019-04-14
180,298162,NA,NA,NA,Chocolate Tuesdays,2019-04-05,2019-08-21
183,335217,NA,NA,NA,Knowledge is power,2019-04-04,2019-06-01
